Continent,Country,ClusterCode,PlotCode,PlotViewID,Census.Int,PlotID,Plot.Name,Plot.View.Name,N_plots,PlotArea,Lat,Lon,Alt,rec.rate,mort.rate,N_ini.ha,N_int.ha,N_fin.ha,N_rec.ha.yr,N_mor.ha.yr,N_change.ha.yr,BA_ini.ha,BA_int.ha,BA_fin.ha,BA_gainrec.ha.yr,BA_gainsurv.ha.yr,BA_mor.ha.yr,BA_gain.ha.yr,BA_netchange.ha.yr,AGB_ini.ha,AGB_int.ha,AGB_fin.ha,AGB_mort_act.ha.yr,AGB_gain_rec.ha.yr,AGB_gain_surv.ha.yr,AGB_mort_unobs.ha.yr,AGB_rec_unobs.ha.yr,AGBGain_tot.ha.yr,AGBMor_tot.ha.yr,AGBnetchange.ha.yr,WD_mean_ini,WD_mean_int,WD_mean_fin,WD_change.yr,WD_ba_ini,WD_ba_int,WD_ba_fin,H_mean_ini,H_mean_int,H_mean_fin,H_change.yr,mean_growth.mm.yr,neg_growth.trees.ha,neg_growth.pc.trees,int_ini,int_fin,mid_int_date,int_c_length,AGBnetchange_rel,AGBGain_rel,AGBMor_rel,AGBnetchange_N,AGBGain_N,AGBMor_N,CRT,tot_monitor_length,AGBnetchange_change,AGBGain_change,AGBMor_change,merged
africa,CAMEROON,EJA,EJA-05,138,1,1276,"Edjagham, plot 5",Main Plot View,1,1,5.748270833,8.991195833,166,0.008711434,0.019600726,551,536,521,4.8,10.8,-6,34.98290968,32.34189251,29.70087534,0.044569304,0.34203713,1.443013302,0.386606434,-1.056406868,474.5524089,429.1628893,383.7733697,22.76640701,0.270004734,4.340594434,0.243510747,0.006658863,4.860768778,23.01657662,-18.15580784,0.694780399,0.693922374,0.693064348,-0.00034321,0.683252455,0.682059739,0.680867022,30.436762,29.65179518,28.86682837,-0.313986726,1.813279678,24,4.47761194,1997.29,2002.29,1999.79,5,-3.82588045,1.024284924,4.850165374,-0.033872776,0.00873359,0.42160013,97.62908513,14.0225,NA,NA,NA,no
africa,CAMEROON,EJA,EJA-05,138,2,1276,"Edjagham, plot 5",Main Plot View,1,1,5.748270833,8.991195833,166,0.010211196,0.007445664,521,527.5,534,5.32003325,3.879190912,1.440842339,29.70087534,30.27344828,30.84602121,0.0622367,0.286873371,0.222188945,0.349110071,0.126921127,383.7733697,390.5102473,397.2471248,2.766976904,0.405792311,3.854535121,0.108508921,0.013364481,4.382200834,2.888850306,1.493350528,0.693064348,0.689607745,0.686151142,-0.000766218,0.680867022,0.679415095,0.677963167,28.86682837,28.89670821,28.92658806,0.006623407,1.477406141,35,6.63507109,2002.29,2011.3125,2006.80125,9.0225,0.38912302,1.141872047,0.752749027,0.002830996,0.007931142,0.079056483,87.57548644,14.0225,2.802518576,-0.06825715,-2.870775726,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-01,139,1,1277,"Ituri Monodominant, A",Main Plot View,1,0.25,1.35,28.45,750,0.010906077,0.004362431,324,330,336,3.533568905,1.413427562,2.120141343,36.70256095,37.91629486,39.13002876,0.035076493,0.425556478,0.031751733,0.46063297,0.428881237,471.7235943,490.473159,509.2227237,0.248301152,0.218066004,6.655523014,0.003018224,0.000938727,6.877545969,0.252258103,6.625287867,0.705135802,0.704905111,0.704674419,-8.15E-05,0.705769216,0.705758853,0.705748491,27.58904021,27.78884428,27.98864835,0.070602146,1.845059713,32,9.696969697,1983.299,1988.959,1986.129,5.66,1.404485157,1.457960986,0.053475829,0.02007663,0.021061782,0.031037644,68.58894094,10.83,NA,NA,NA,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-01,139,2,1277,"Ituri Monodominant, A",Main Plot View,1,0.25,1.35,28.45,750,0.002302662,0.002302662,336,336,336,0.773694391,0.773694391,0,39.13002876,38.99906361,38.86809847,0.008896723,0.193240762,0.252800983,0.202137485,-0.050663499,509.2227237,507.8562121,506.4897005,3.610792749,0.041994896,3.040166684,0.077171896,0.000682097,3.160015573,3.688646742,-0.528631169,0.704674419,0.703501915,0.702329412,-0.00045358,0.705748491,0.705611136,0.705473781,27.98864835,28.01528292,28.04191749,0.010303508,0.799328843,76,22.61904762,1988.959,1994.129,1991.544,5.17,-0.103811386,0.620556669,0.724368056,-0.001573307,0.009157129,0.902698187,161.1456374,10.83,-1.321130016,-0.686524542,0.634605474,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-02,140,1,1278,"Ituri Monodominant, M",Main Plot View,1,0.44,1.35,28.53,750,0.007867202,0.0009834,345.4545455,353.4090909,361.3636364,2.717760565,0.339720071,2.378040495,38.30063402,38.94413483,39.58763564,0.023138242,0.176414953,0.00717627,0.199553195,0.192376925,522.3103593,531.8511167,541.3918741,0.054972802,0.136506472,2.77071069,0.001110713,0.000968855,2.90929673,0.05705237,2.85224436,0.705203947,0.704948849,0.70469375,-7.63E-05,0.714814516,0.714735803,0.71465709,29.10011615,29.15284452,29.20557289,0.01576334,0.788960493,0,0,1982.6,1989.29,1985.945,6.69,0.546082288,0.557005366,0.010923078,0.008070659,0.008073594,0.024188033,179.531484,10.529,NA,NA,NA,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-02,140,2,1278,"Ituri Monodominant, M",Main Plot View,1,0.44,1.35,28.53,750,0.003276535,0.006553069,361.3636364,359.0909091,356.8181818,1.18402046,2.36804092,-1.18402046,39.58763564,38.50071152,37.4137874,0.009582438,0.146744883,0.722581096,0.156327321,-0.566253775,541.3918741,525.8763846,510.3608952,10.47891366,0.065318763,2.330505831,0.073179956,0.000480052,2.469484602,10.55257366,-8.083089061,0.70469375,0.705365509,0.706037267,0.000349965,0.71465709,0.714869473,0.715081857,29.20557289,29.15460718,29.10364147,-0.026551556,0.64700989,47.72727273,13.29113924,1989.29,1993.129,1991.2095,3.839,-1.493020019,0.456136252,1.949156271,-0.022509868,0.006615629,1.152680502,219.2327393,10.529,-2.077183668,-0.083543001,1.993640667,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-03,141,1,1279,"Ituri Monodominant, S",Main Plot View,1,0.5,1.333,28.6,750,0.010003183,0.005456282,300,305,310,3.000954849,1.636884463,1.364070386,32.82392867,33.36581335,33.90769803,0.026323855,0.185790216,0.064280303,0.212114071,0.147833768,463.9992222,472.3034776,480.607733,0.646607074,0.16017263,2.751952219,0.007348355,0.00184695,2.921320153,0.655802379,2.265517774,0.7019,0.70221087,0.702521739,8.48E-05,0.712623018,0.712655714,0.712688409,30.53765302,30.58306505,30.62847708,0.012389042,1.112096273,22,7.213114754,1982.959,1990.29,1986.6245,7.331,0.488258959,0.629595916,0.141336957,0.007427927,0.00955539,0.053883923,158.8320341,11.082,NA,NA,NA,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-03,141,2,1279,"Ituri Monodominant, S",Main Plot View,1,0.5,1.333,28.6,750,0.005159914,0.005159914,310,310,310,1.599573447,1.599573447,0,33.90769803,34.1288151,34.34993217,0.013511529,0.126345459,0.021959322,0.139856988,0.117897666,480.607733,484.2515593,487.8953857,0.150153806,0.08346365,2.009546098,0.001569474,0.001030254,2.095609476,0.152753534,1.942855943,0.702521739,0.703102642,0.703683544,0.000309732,0.712688409,0.712746488,0.712804567,30.62847708,30.66096224,30.69344741,0.017320802,0.571777351,114,36.77419355,1990.29,1994.041,1992.1655,3.751,0.40424983,0.436033241,0.031783412,0.006267277,0.006610349,0.025025634,229.3403129,11.082,-0.058231697,-0.14901835,-0.090786653,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-04,142,1,1280,"Ituri, Mixed, K",Main Plot View,1,0.5,1.45,28.417,750,0.012512513,0.011853959,456,457,458,5.705705706,5.405405405,0.3003003,31.41330959,31.16673619,30.92016279,0.048598929,0.440788327,0.563433321,0.489387256,-0.074046065,392.2585493,390.3540092,388.4494691,6.611479647,0.318320007,5.721225677,0.26960594,0.008830935,6.317982559,6.889916522,-0.571933963,0.710407895,0.712865891,0.715323887,0.000738137,0.702343386,0.702289093,0.702234799,27.01264481,27.13813671,27.26362861,0.037685255,1.915486915,36,7.877461707,1982.63,1989.29,1985.96,6.66,-0.145805353,1.610667905,1.756473258,-0.001251497,0.013621966,0.183652212,62.08604498,10.499,NA,NA,NA,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-04,142,2,1280,"Ituri, Mixed, K",Main Plot View,1,0.5,1.45,28.417,750,0.006824921,0.011374869,458,454,450,3.125814014,5.209690023,-2.083876009,30.92016279,31.45202501,31.98388722,0.04637143,0.418623154,0.187910858,0.464994584,0.277083726,388.4494691,397.2388546,406.0282401,2.015019646,0.198705518,6.395311514,0.050646647,0.004338543,6.649002222,2.070004837,4.578997385,0.715323887,0.714736411,0.714148936,-0.000306056,0.702234799,0.701282829,0.700330859,27.26362861,27.44787995,27.6321313,0.095989239,1.612862939,56,12.33480176,1989.29,1993.129,1991.2095,3.839,1.178788427,1.711677515,0.532889089,0.010085897,0.014601168,0.100750982,58.42221978,10.499,0.98122323,0.06305737,-0.918165861,no
